Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
https://www.amazon.in/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=rlv47&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=VXY0M4ATVCTVPZA17YEJ&pd_rd_wg=IGu0P&pd_rd_r=b5c9b6c6-1ae7-4401-bbfb-1e333195e07f&qid=1685107746,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),? 598,4.3 out of 5 stars,"10,944",N/A,N/A,N/A,N/A
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"? 1,199",4.0 out of 5 stars,More Like This,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),N/A,N/A,Visit the American Tourister Store
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,? 669,4.1 out of 5 stars,More Like This,Skybags Brat Black 46 Cms Casual Backpack,N/A,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",Visit the Skybags Store
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 448,4.0 out of 5 stars,Amazon’s private and select curated brands,N/A,N/A,N/A,N/A
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 448,4.0 out of 5 stars,More Like This,N/A,N/A,N/A,N/A
https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,N/A,? 294,4.2 out of 5 stars,58,N/A,N/A,N/A,N/A
https://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 298,4.1 out of 5 stars,85,N/A,N/A,N/A,N/A
https://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 298,4.1 out of 5 stars,More Like This,N/A,N/A,N/A,N/A
https://www.amazon.in/Amazon-Brand-Canvas-printed-stylish/dp/B0BX3PW42J?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 349,4.5 out of 5 stars,2,N/A,N/A,N/A,N/A
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 415,5.0 out of 5 stars,More Like This,N/A,N/A,N/A,N/A
https://www.amazon.in/AmazonBasics-Foldable-Travel-Duffel-27-inch/dp/B01J24HEE4?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,"? 1,699",4.4 out of 5 stars,More Like This,N/A,N/A,N/A,N/A
https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B08YP5HQVP?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,N/A,? 415,5.0 out of 5 stars,More Like This,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),? 499,3.9 out of 5 stars,806,N/A,N/A,N/A,N/A
